path,size,last_commit,inbound_refs,in_spine,role,refs
diagrams/qelectrotech/elements/plane_b_x_resolver__cna3.elmt,3037,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_x_resolver__hold_termination.elmt,1320,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_x_resolver__new_cable_shields.elmt,1352,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__7i49_p4.elmt,2917,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__cna4.elmt,3037,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__hold_termination.elmt,1320,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__new_cable_shields.elmt,1352,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__7i49_p3.elmt,2896,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__cna5.elmt,3037,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__hold_termination.elmt,1320,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__new_cable_shields.elmt,1352,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/manifest.json,448,2026-09-03,7,,,diagrams/qelectrotech/README.md diagrams/wireviz/README.md docs/manual_set/README.md scripts/build_manual_set.py scripts/create_wiring_workbook.py scripts/generate_qelectrotech_project.py scripts/generate_wireviz_diagrams.py
diagrams/wireviz/README.md,2673,2026-08-20,44,yes,,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
diagrams/wireviz/index.html,5685,2026-09-03,5,,,.gitignore diagrams/wireviz/README.md io-dashboard/README.md io-dashboard/tools/build_standalone.py scripts/generate_wireviz_diagrams.py
diagrams/wireviz/manifest.json,5239,2026-09-03,7,,,diagrams/qelectrotech/README.md diagrams/wireviz/README.md docs/manual_set/README.md scripts/build_manual_set.py scripts/create_wiring_workbook.py scripts/generate_qelectrotech_project.py scripts/generate_wireviz_diagrams.py
diagrams/wireviz/rendered/00_interface_overview.gv,14465,2026-08-20,0,,,
diagrams/wireviz/rendered/00_interface_overview.html,34053,2026-08-20,2,,,diagrams/wireviz/README.md diagrams/wireviz/index.html
diagrams/wireviz/rendered/00_interface_overview.svg,32565,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn11_discrete.gv,26663,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn11_discrete.html,73461,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn11_discrete.svg,72041,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn1_discrete.gv,18652,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn1_discrete.html,50032,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn1_discrete.svg,48615,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn200_discrete.gv,6730,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn200_discrete.html,15362,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn200_discrete.svg,13939,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn2_discrete.gv,42610,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn2_discrete.html,123556,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn2_discrete.svg,122139,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn3_discrete.gv,15498,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn3_discrete.html,41487,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn3_discrete.svg,40070,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn4_discrete.gv,17395,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn4_discrete.html,47860,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn4_discrete.svg,46443,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn4_spindle_analog.gv,7635,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_a_cn4_spindle_analog.html,18172,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn4_spindle_analog.svg,16740,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn5_discrete.gv,6732,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_a_cn5_discrete.html,15599,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn5_discrete.svg,14182,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn6_discrete.gv,16069,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn6_discrete.html,42132,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn6_discrete.svg,40715,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_axis_velocity_commands.gv,11515,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_b_axis_velocity_commands.html,29117,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_axis_velocity_commands.svg,27644,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_cna10_legacy_load_display.gv,9449,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_b_cna10_legacy_load_display.html,24663,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_cna10_legacy_load_display.svg,23214,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_x_resolver.gv,14998,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_b_x_resolver.html,38256,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_x_resolver.svg,36816,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_y_resolver.gv,15026,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_b_y_resolver.html,38317,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_y_resolver.svg,36877,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_z_resolver.gv,14998,2026-08-20,0,,,
diagrams/wireviz/rendered/plane_b_z_resolver.html,38490,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_b_z_resolver.svg,37050,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/src/00_interface_overview.yml,3895,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn11_discrete.yml,4844,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn1_discrete.yml,3926,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn200_discrete.yml,2207,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn2_discrete.yml,6660,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn3_discrete.yml,3466,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn4_discrete.yml,3450,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn4_spindle_analog.yml,2398,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn5_discrete.yml,2205,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_a_cn6_discrete.yml,3661,2026-09-03,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_b_axis_velocity_commands.yml,2910,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_b_cna10_legacy_load_display.yml,2332,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_b_x_resolver.yml,3488,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_b_y_resolver.yml,3509,2026-08-20,1,,,diagrams/wireviz/manifest.json
diagrams/wireviz/src/plane_b_z_resolver.yml,3488,2026-08-20,1,,,diagrams/wireviz/manifest.json
docs/LinuxCNC_Setup_HowTo.docx,16374,2026-07-20,0,,,
docs/Mesa Manuals/7i44man.pdf,114865,2026-08-21,2,,,docs/Mesa Manuals/README.md docs/superseded_claims_2026-08-06.md
docs/Mesa Manuals/7i49man.pdf,349064,2026-08-18,17,,,CLAUDE.md README.md docs/Mesa Manuals/README.md docs/architecture_decision.md docs/commissioning_logs/analog_cmd_plan_2026-08-08.md docs/grounding_shielding_plan.md docs/project_status.md docs/resolver_commissioning.md
docs/Mesa Manuals/7i80hdman.pdf,243514,2026-08-13,7,,,docs/Mesa Manuals/README.md docs/cabinet_photo_checklist.md docs/pre_power_deliverables.md docs/project_status.md docs/superseded_claims_2026-08-06.md mesa/firmware/README.md mesa/mesa_firmware_checklist.md
docs/Mesa Manuals/7i80hdtman.pdf,252929,2026-08-17,3,,,CLAUDE.md bom/README.md docs/Mesa Manuals/README.md
docs/Mesa Manuals/7i84uman.pdf,258036,2026-07-09,12,,,CLAUDE.md docs/Mesa Manuals/README.md docs/claim_audit_2026-08-07.md docs/commissioning_logs/find_list_2026-08-08.md docs/commissioning_logs/sserial_enumeration_check_2026-09-05.md docs/io_capacity_reconciliation.md docs/smart_serial_latency.md io-dashboard/commissioning.js
docs/Mesa Manuals/README.md,2124,2026-08-21,44,yes,+superseded-ish-banner,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
docs/OEM Manuals/Mitsubishi_FR-SX_Spindle_Drive_Maintenance_Manual_BCN-21735-S5.pdf,4096730,2026-08-12,5,,,docs/frsx_maintenance_manual_notes.md docs/frsx_orient_model.md docs/servo_amp_analysis.md io-dashboard/data.js mesa/current_pin_authority.csv
docs/README_photo_sorting.md,5153,2026-08-21,13,,GOVERNANCE +superseded-ish-banner,CLAUDE.md README.md background/frsx_orient_detector_capture.md docs/dc_bus_stop_fault.md docs/feedback_nameplate_survey_2026-08-15.md docs/handoff_photo_tools_2026-08-25.md docs/parameters_sn060231.md docs/photo_drive_layout_2026-08-21.md
